30.Aug;71,5;;;;;tööle-tagasi kõige lühemat teed;13;1m10s;50;;;;;;20!20!20;20!20!20;;10!10!10
31.Aug;71,2;;;;;harku metsa kaudu, pärast tööd viimsi/tammneeme/leppneeme, kopli;90;1m20s;50;15!12!10;;10!10!10;;10!10!10;;;;
01.Sep;70,8;12,8;;;;tööle veskimetsa kaudu, peale tööd ema juurde (hunniku keeksiga tagasi);19;;55;;;;;;20!20!20;20!20!20;;10!10!10
02.Sep;70,8;13;;;;poering, selver/prisma;7;1m20s;60;15!15!12;;10!10!10;;10!10!10;;;;
03.Sep;70,8;12,9;;;;triinu sünnipäev, kõva sööma + kõvasti shokolaadi;0;1m20s;50;;;;;;20!20!20;20!20!20;;10!10!10
04.Sep;71,5;13,5;90!86;96;31;töö over fun (+ kõvasti shokolaadi);4;1m30s;55;16!16!16;15!15!15;15!15!15;;11!11!11;;;10!10!10;
05.Sep;72;15,4;;;;tööle-tagasi;14;1x1m30s;60;;;5x20;;;;;;
06.Sep;71,8;13,7;;;;tööle-tagasi;14;;50;;;;;;30!30!30;40!40!40;;20!20
07.Sep;71,6;13,4;;;;tööle-tagasi;14;1m30s;60;17!17!17;20!20!20;;30!30!30;20!20!5;;;12!12!12;
08.Sep;71,4;;;;;nabala ring;72;;50;;;;;;30!20!20;30!30!30;;15!15
09.Sep;70,7;12,8;;;;harku metsa kaudu;28;;;;;;;;;;;
10.Sep;71,4;13,4;;;;laargi-nabala-seli;90;;60;;;;;;;;;
11.Sep;70,8;13,6;;;;ema sünnipäev, poodi-tagasi;5;;65;;;;;;;;;
12.Sep;71,5;13,5;;;;piljardit mängimas;0;1m40s;60;18!18!18;20!20!20;20!20!20;;;;;12!12!12;
13.Sep;71,1;13,1;;;;vanalinna ja tagasi;25;1m40s;60;;;;;15!15!15;20!20!20;20!20!20;;20!20!20
14.Sep;71,1;13,1;;;;laagri-keila-joa-väänajõesuu;61;1m40s;70;;;;;;;;;
15.Sep;70,7;12,9;;;;arsti juures;0;1m40s;65;19!19!19;20!20!20;22!22!22;;;;;13!13!13;
16.Sep;71,1;13,1;;;;tööle-tagasi;26;1m50s;70;;;;;;;;;
17.Sep;70,7;12,7;88!84;96;31;tööle-tagasi;14;;70;;;;;;;;;
18.Sep;71,3;13,1;;;;laagri-vääna;55;;60;;;;;;;;;
19.Sep;71,5;13,3;;;;tööle-tagasi;16;1m50s;65;;;;;16!16!16;20!20!20;20!20!20;;20!20!20
20.Sep;71,9;13,5;;;;harku-hüüru-vääna-jõesuu-muraste;67;6x1m;60;15!15!15;20!20!20;20!20!20;;;;;12!12!12;
21.Sep;71,3;13,2;;;;harku-kiia-hüüru;46;;65;;;;;;;;;
22.Sep;71,1;13,1;;;;kopli-järve;28;2x2m;70;;;;;;;;;
23.Sep;70,6;12,6;;;;harku kaudu;24;2x1m;70;;;;;17!17!17;21!21!21;30!30!30;;20!20!20
24.Sep;70,9;12,9;;;;riias;0;;60;;;;;;;;;
25.Sep;70,9;12,9;;;;viimsi-tammneeme-leppneeme;86;;70;;;;;;;;;
26.Sep;70,8;13;;;;tööle-tagasi;13;;60;18!18!18;22!22!22;25!25!25;;;;;15!15!15;
27.Sep;71,7;15,8;;;;tööle-tagasi;15;;75;;;;;18!18!18;22!22!22;35!35!35;;21!21!21
28.Sep;71,7;15,7;;;;tööle-tagasi;13;;60;;;;;;;;;
29.Sep;71,7;15,7;;;;harku ring;22;;60;19!19!19;25!25!25;26!26!26;;;;;16!16!16;
30.Sep;71,1;15,1;;;;harku+järve mets;43;;60;;;;;15!15!15;23!23!23;40!40!40;;22!22!22
01.Oct;71,1;15,1;;;;kehra-tsitre-paukjärve-aegviidu;94;;80;;;;;;;;;
02.Oct;69,9;14,4;;;;sõstra-järve-laagri-vääna-harku;55;;80;;;;;;;;;
03.Oct;70,4;14,7;;;;tööle-tagasi;14;;80;20!20!20;26!26!26;27!27!27;;;;;17!17!17;
04.Oct;70,4;14,7;;;;tööle-tagasi;13;;80;;;;;;24!24!24;40!40!40;;24!24!24
05.Oct;70,4;15,4;;;;tööle-tagasi;13;;80;;;;;;;;;
06.Oct;70,6;15,1;;;;ülemistesse ja tagasi;30;2x2m;80;;;;;;;;;
07.Oct;70,3;14,9;;;;tööle-tagasi;13;;80;;;;;;;;;
08.Oct;70,2;14,5;;;;nõva xdream;47;;30;;;;;;;;;
09.Oct;69,4;14,1;;;;ema juurde ja tagasi;13;;80;21!21!21;27!27!27;28!28!28;;;;;18!18!18;
10.Oct;70,6;15;;;;harku kaudu tööle ja tagasi;22;;80;;;;;;25!25!25;40!40!40;;25!25!25
11.Oct;70,9;15,1;;;;-;0;;80;;;;;;;;;
12.Oct;70,9;15,2;;;;tööle-tagasi;13;;60;22!22!22;28!28!28;28!28!28;;;;;;
13.Oct;70,6;14,9;;;;tööle-tagasi;13;;80;;;;;18!18!18;26!26!26;45!45!45;;26!26!26
14.Oct;70,9;14,9;;;;tööle-tagasi;14;;80;;;;;;;;;
15.Oct;70,4;14,8;;;;-;0;;70;;;;;;;;;
16.Oct;71,6;15,8;;;;harku, kiia, hüüru, keila, ääsmäe, koppelmaa, sõstra;85;;70;;;;;;;;;
17.Oct;70,5;15;;;;luige, kiili, ülemiste;60;;70;23!23!23;29!29!29;29!29!29;;;;;19!19!19;
18.Oct;71,2;15,3;;;;randvere-viimsi;73;;90;;;;;;;;;
19.Oct;70,8;15,2;;;;hüüru-kiia-harku (kk 23,61);45;;80;;;;;;;;;
20.Oct;71,4;15,5;;;;harku ring;23;;70;;;;;19!19!19;27!27!27;50!50!50;;27!27!27
21.Oct;71,4;15,5;;;;tööle-tagasi;15;;80;;;;;;;;;
22.Oct;71,4;15,6;;;;sõstra-mustamäe;20;;80;;;;;;;;;
23.Oct;70,3;14,8;;;;-;0;;80;24!24!24;30!30!30;30!30!30;;;;;19!19!19;
24.Oct;72,3;16,1;;;;tööle-tagasi;13;;80;;;;;20!20!20;28!28!28;50!50!50;;28!28!28
25.Oct;71,5;15,5;;;;tööle-tagasi;13;;60;;;;;;;;;
26.Oct;72;16,1;;;;;;;;25!25!25;30!30!30!;30!30!30;;;;;20!20!20;